n,x_m,x_i,x_s,f_m,f_i,f_s,E
0,-2.89484127221468,-3,5,-1.94469219671687,-1.95021293163214,146.413159102577,1.005
1,-2.79135476252251,-2.89484127221468,5,-1.93866194090346,-1.94469219671687,146.413159102577,0.0370739366710424
2,-2.68953732044506,-2.79135476252251,5,-1.93208764623858,-1.93866194090346,146.413159102577,0.0378568615885969
3,-2.58938675689327,-2.68953732044506,5,-1.92493394028306,-1.93208764623858,146.413159102577,0.0386773290182211
4,-2.49090181715458,-2.58938675689327,5,-1.91716476935084,-1.92493394028306,146.413159102577,0.0395378649854592
5,-2.39408214684283,-2.49090181715458,5,-1.90874359953004,-1.91716476935084,146.413159102577,0.0404412482000372
6,-2.29892825038472,-2.39408214684283,5,-1.89963364629841,-1.90874359953004,146.413159102577,0.0413905464175241
7,-2.20544144166536,-2.29892825038472,5,-1.88979813313029,-1.89963364629841,146.413159102577,0.0423891593552224
8,-2.11362378651775,-2.20544144166536,5,-1.8792005789974,-1.88979813313029,146.413159102577,0.0434408695309402
9,-2.02347803681697,-2.11362378651775,5,-1.86780511409145,-1.8792005789974,146.413159102577,0.0445499027222396
10,-1.93500755602951,-2.02347803681697,5,-1.85557682244637,-1.86780511409145,146.413159102577,0.0457210001644579
11,-1.84821623617253,-1.93500755602951,5,-1.84248210941831,-1.85557682244637,146.413159102577,0.0469595051479021
12,-1.76310840625506,-1.84821623617253,5,-1.82848909120331,-1.84248210941831,146.413159102577,0.048271467378596
13,-1.67968873240404,-1.76310840625506,5,-1.81356800275153,-1.82848909120331,146.413159102577,0.049663769388764
14,-1.59796211001954,-1.67968873240404,5,-1.79769161959163,-1.81356800275153,146.413159102577,0.0511442805008081
15,-1.51793354845491,-1.59796211001954,5,-1.78083568823508,-1.79769161959163,146.413159102577,0.0527220454716812
16,-1.43960804887567,-1.51793354845491,5,-1.76297935901501,-1.78083568823508,146.413159102577,0.0544075171296863
17,-1.36299047611272,-1.43960804887567,5,-1.74410561446024,-1.76297935901501,146.413159102577,0.0562128452881565
18,-1.28808542548735,-1.36299047611272,5,-1.72420168564706,-1.74410561446024,146.413159102577,0.0581522383090579
19,-1.21489708574356,-1.28808542548735,5,-1.70325944844412,-1.72420168564706,146.413159102577,0.0602424193807361
20,-1.14342909937205,-1.21489708574356,5,-1.68127579120645,-1.70325944844412,146.413159102577,0.0625032075978777
21,-1.07368442174675,-1.14342909937205,5,-1.6582529453148,-1.68127579120645,146.413159102577,0.0649582654015148
22,-1.00566518061183,-1.07368442174675,5,-1.63419877002706,-1.6582529453148,146.413159102577,0.0676360705792182
23,-0.939372537552331,-1.00566518061183,5,-1.60912698343082,-1.63419877002706,146.413159102577,0.0705711955687276
24,-0.87480655314867,-0.939372537552331,5,-1.583057331876,-1.60912698343082,146.413159102577,0.0738060136509843
25,-0.81196605755104,-0.87480655314867,5,-1.55601569112723,-1.583057331876,146.413159102577,0.0773930080121365
26,-0.750848528211185,-0.81196605755104,5,-1.52803409360111,-1.55601569112723,146.413159102577,0.081397947846366
27,-0.6914499764732,-0.750848528211185,5,-1.49915067742363,-1.52803409360111,146.413159102577,0.0859043369137892
28,-0.633764844651222,-0.6914499764732,5,-1.46940955462594,-1.49915067742363,146.413159102577,0.0910197722527874
29,-0.577785915109934,-0.633764844651222,5,-1.43886059754879,-1.46940955462594,146.413159102577,0.096885244304782
30,-0.523504232714983,-0.577785915109934,5,-1.40755914439257,-1.43886059754879,146.413159102577,0.10368909934775
31,-0.470909041837479,-0.523504232714983,5,-1.3755656267684,-1.40755914439257,146.413159102577,0.111688640915193
32,-0.419987738883481,-0.470909041837479,5,-1.34294512400794,-1.3755656267684,146.413159102577,0.121244737023444
33,-0.370725841080907,-0.419987738883481,5,-1.30976685080477,-1.34294512400794,146.413159102577,0.132879590100714
34,-0.323106971998743,-0.370725841080907,5,-1.27610358642025,-1.30976685080477,146.413159102577,0.147378030215794
35,-0.277112864003427,-0.323106971998743,5,-1.24203105512688,-1.27610358642025,146.413159102577,0.165976084007225
36,-0.232723377582385,-0.277112864003427,5,-1.20762726872848,-1.24203105512688,146.413159102577,0.19073926685912
37,-0.189916537192123,-0.232723377582385,5,-1.17297184284492,-1.20762726872848,146.413159102577,0.225398172392741
38,-0.148668583025665,-0.189916537192123,5,-1.1381452991504,-1.17297184284492,146.413159102577,0.277449030097617
39,-0.108954037848215,-0.148668583025665,5,-1.10322836589501,-1.1381452991504,146.413159102577,0.364507327693319
40,-0.0707457878270936,-0.108954037848215,5,-1.06830128882096,-1.10322836589501,146.413159102577,0.54007809079043
41,-0.0340151760875374,-0.0707457878270936,5,-1.03344316402495,-1.06830128882096,146.413159102577,1.07983012185592
42,0.00126789243593395,-0.0340151760875374,5,-0.998731303448643,-1.03344316402495,146.413159102577,27.8281244713643
43,0.0351348364092268,0.00126789243593395,5,-0.964240642542868,-0.998731303448643,146.413159102577,0.963913523855173
44,0.0676182754151996,0.0351348364092268,5,-0.930043198300688,-0.964240642542868,146.413159102577,0.480394372771463
45,0.0987519008742508,0.0676182754151996,5,-0.896207584348224,-0.930043198300688,146.413159102577,0.315271151070765
46,0.128570342280928,0.0987519008742508,5,-0.862798588180994,-0.896207584348224,146.413159102577,0.231923170442555
47,0.157109030448405,0.128570342280928,5,-0.829876813998176,-0.862798588180994,146.413159102577,0.181648935685139
48,0.1844040594006,0.157109030448405,5,-0.797498392974534,-0.829876813998176,146.413159102577,0.148017505910211
49,0.210492048471356,0.1844040594006,5,-0.765714761271267,-0.797498392974534,146.413159102577,0.123938121464507
50,0.235410006065625,0.210492048471356,5,-0.734572504666206,-0.765714761271267,146.413159102577,0.105849186322702
51,0.259195196413606,0.235410006065625,5,-0.70411326741541,-0.734572504666206,146.413159102577,0.0917655522829459
52,0.28188501050992,0.259195196413606,5,-0.674373721867405,-0.70411326741541,146.413159102577,0.0804931558981046
53,0.303516842280858,0.28188501050992,5,-0.645385594453825,-0.674373721867405,146.413159102577,0.0712706142050658
54,0.32412797086799,0.303516842280858,5,-0.61717574298253,-0.645385594453825,146.413159102577,0.063589478353061
55,0.34375544976003,0.32412797086799,5,-0.589766279659869,-0.61717574298253,146.413159102577,0.0570972152026727
56,0.362436003350655,0.34375544976003,5,-0.563174733958969,-0.589766279659869,146.413159102577,0.0515416609220028
57,0.380205931351006,0.362436003350655,5,-0.537414249316511,-0.563174733958969,146.413159102577,0.0467376401446644
58,0.397101021344664,0.380205931351006,5,-0.512493807662925,-0.537414249316511,146.413159102577,0.0425460753952428
59,0.413156469642042,0.397101021344664,5,-0.488418475948891,-0.512493807662925,146.413159102577,0.0388604547601263
60,0.42840681047188,0.413156469642042,5,-0.465189669101775,-0.488418475948891,146.413159102577,0.0355978020355011
61,0.442885853441041,0.42840681047188,5,-0.442805424205748,-0.465189669101775,146.413159102577,0.0326924936903371
62,0.456626629100535,0.442885853441041,5,-0.421260681126497,-0.442805424205748,146.413159102577,0.0300919280300411
63,0.469661342375913,0.456626629100535,5,-0.400547565274169,-0.421260681126497,146.413159102577,0.0277534301832008
64,0.482021333553604,0.469661342375913,5,-0.380655668697473,-0.400547565274169,146.413159102577,0.025642000296065
65,0.493737046460968,0.482021333553604,5,-0.36157232621066,-0.380655668697473,146.413159102577,0.0237286486629692
66,0.504838003436104,0.493737046460968,5,-0.343282883759022,-0.36157232621066,146.413159102577,0.021989146814579
67,0.51535278665283,0.504838003436104,5,-0.325770956715921,-0.343282883759022,146.413159102577,0.0204030782195225
68,0.525309025345829,0.51535278665283,5,-0.309018676265773,-0.325770956715921,146.413159102577,0.018953108004272
69,0.534733388469516,0.525309025345829,5,-0.293006922456102,-0.309018676265773,146.413159102577,0.0176244149456635
70,0.543651582320804,0.534733388469516,5,-0.277715542892971,-0.293006922456102,146.413159102577,0.0164042451844199
71,0.552088352659294,0.543651582320804,5,-0.263123556405013,-0.277715542892971,146.413159102577,0.0152815582829299
72,0.560067490867648,0.552088352659294,5,-0.249209341310625,-0.263123556405013,146.413159102577,0.014246744077205
73,0.567611843708833,0.560067490867648,5,-0.235950808190972,-0.249209341310625,146.413159102577,0.0132913943301272
74,0.574743326254682,0.567611843708833,5,-0.223325557299298,-0.235950808190972,146.413159102577,0.012408117189149
75,0.581482937580942,0.574743326254682,5,-0.211311020926838,-0.223325557299298,146.413159102577,0.0115903853590227
76,0.587850778846837,0.581482937580942,5,-0.199884591199891,-0.211311020926838,146.413159102577,0.0108324110387104
77,0.593866073401563,0.587850778846837,5,-0.189023733904457,-0.199884591199891,146.413159102577,0.0101290422607784
78,0.599547188585351,0.593866073401563,5,-0.178706089027387,-0.189023733904457,146.413159102577,0.00947567646375329
79,0.604911658918337,0.599547188585351,5,-0.168909558769687,-0.178706089027387,146.413159102577,0.00886818803026321
80,0.609976210396056,0.604911658918337,5,-0.159612383831638,-0.168909558769687,146.413159102577,0.00830286721252683
81,0.614756785635443,0.609976210396056,5,-0.150793208794039,-0.159612383831638,146.413159102577,0.0077763683965614
82,0.619268569639681,0.614756785635443,5,-0.142431137428024,-0.150793208794039,146.413159102577,0.00728566606708776
83,0.62352601597367,0.619268569639681,5,-0.134505778760483,-0.142431137428024,146.413159102577,0.00682801715553251
84,0.627542873164285,0.62352601597367,5,-0.12699728470556,-0.134505778760483,146.413159102577,0.00640092870525453
85,0.631332211160705,0.627542873164285,5,-0.11988638004733,-0.12699728470556,146.413159102577,0.00600212998708393
86,0.634906447709931,0.631332211160705,5,-0.113154385526627,-0.11988638004733,146.413159102577,0.00562954835648238
87,0.638277374521078,0.634906447709931,5,-0.10678323474784,-0.113154385526627,146.413159102577,0.00528128827012973
88,0.641456183109121,0.638277374521078,5,-0.100755485580797,-0.10678323474784,146.413159102577,0.00495561298144419
