n,Xn,Fm,Error
0,0,2,1.005
0,0.8,-0.207038241390097,1.005
1,0.72495345571912,-0.241964150880584,0.0750465442808801
2,1.24487043507198,3.19578434109802,0.51991697935286
3,0.761547543602817,-0.235822806637152,0.483322891469163
4,0.794761881920496,-0.212400378515702,0.0332143383176791
5,1.09595772695601,1.16790863735937,0.301195845035511
6,0.841109555345162,-0.147863382506765,0.254848171610846
7,0.86974879687872,-0.0872911195117583,0.0286392415335582
8,0.911021011780746,0.0313456754637116,0.0412722149020258
9,0.900116254498193,-0.00382435402955661,0.0109047572825527
10,0.901302026960023,-0.000137552718609157,0.00118577246183005
