listTable1,listTable2,listTable3,listTable4,listTable5,listTable6
0,1.005,2,2,2,2
1,2.85218253968254,0.344444444444444,-0.85218253968254,1.78319633408919,1.31984250710866
2,1.23895098614318,-0.0205286856071059,-2.09113352582572,1.81057164805738,0.924218501969208
3,0.521547708710157,0.0123275951098932,-2.61268123453587,1.86202232939245,0.703662023025945
4,0.212107411550075,0.125982121803042,-2.82478864608595,1.89262723419022,0.585599826177573
5,0.0993196360591192,0.225301757862161,-2.90800856266862,1.90418354886108,0.524860739717713
6,0.067593116539971,0.292894874402132,-2.93964339798813,1.9055252845752,0.49484295650455
7,0.0410939145779355,0.333988788980068,-2.9515296310952,1.90300824594743,0.480627701074835
8,0.0234155675036173,0.357404356483685,-2.95618939793468,1.89984218383237,0.474212696352946
9,0.0128103699543433,0.370214726438028,-2.95828546049951,1.89723726845604,0.471483430601821
10,0.00683477695324453,0.377049503391273,-2.95944748867043,1.89543332322602,0.470411833812376
11,0.00360031469459299,0.380649818085866,-2.9602109134584,1.89430553602404,0.470041900330048
