n,x_n,f_m,E
0,3,30,1.005
1,1.88888888888889,9.73936899862826,1.11111111111111
2,0.978982442650263,3.93826325685384,0.909906446238626
3,-0.390743503961172,2.94034109195769,1.36972594661143
4,-6.81012114492005,-312.838095986614,6.41937764095887
5,-4.5616428269812,-91.9213337864679,2.24847831793884
6,-3.08915230531457,-26.4793540398078,1.47249052166663
7,-2.16422523641459,-7.13695154947471,0.924927068899983
8,-1.65631545114185,-1.54390412946185,0.507909785272731
9,-1.4687240325547,-0.168258463654723,0.187591418587158
10,-1.44272391797173,-0.00296102235906085,0.026000114582966
11,-1.44224972624927,-9.73116508241147e-07,0.000474191722465322
